ensaio_id,razao_molar_eta,C_acid_0_mol_L,C_acid_0_g_L,razao_SL_g_L,massa_solido_g,volume_solucao_L,temperatura_C,agitacao_rpm,tempo_min,tempo_s,X_zn_exp,X_zn_final,X_fe_final,C_acid_final_mol_L,pH_final,X_pbm,C_acid_pbm_mol_L,delta_X
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,1.0,60.0,0.85,0.98,0.07,0.04,1.5,0.6210413108097969,0.058597245946013544,0.22895868919020312
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,2.0,120.0,0.88,0.98,0.07,0.04,1.5,0.8073183695668699,0.046178775362208685,0.07268163043313014
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,3.0,180.0,0.97,0.98,0.07,0.04,1.5,0.8908301190777761,0.04061132539481493,0.07916988092222388
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,4.0,240.0,0.94,0.98,0.07,0.04,1.5,0.9348177219526965,0.037678818536486906,0.0051822780473034236
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,5.0,300.0,0.96,0.98,0.07,0.04,1.5,0.9599540258652326,0.03600306494231783,4.597413476736811e-05
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,15.0,900.0,0.98,0.98,0.07,0.04,1.5,0.9995671777411111,0.03336218815059259,-0.019567177741111164
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,0.0,0.0,0.0,1.0,0.09,0.64,0.2,0.0,1.0,0.0
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,0.5,30.0,0.96,1.0,0.09,0.64,0.2,0.9922612642287525,0.6799157212165314,-0.03226126422875253
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,1.0,60.0,1.0,1.0,0.09,0.64,0.2,0.9999178027211855,0.6774458700899402,8.219727881453309e-05
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,2.0,120.0,1.0,1.0,0.09,0.64,0.2,0.9999999915757166,0.6774193575562204,8.424283381991415e-09
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,3.0,180.0,0.99,1.0,0.09,0.64,0.2,0.9999999999992099,0.6774193548389646,-0.009999999999209863
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,4.0,240.0,0.99,1.0,0.09,0.64,0.2,0.9999999999999999,0.6774193548387097,-0.009999999999999898
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,5.0,300.0,0.99,1.0,0.09,0.64,0.2,1.0,0.6774193548387097,-0.010000000000000009
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,15.0,900.0,1.0,1.0,0.09,0.64,0.2,1.0,0.6774193548387097,0.0
13,1.5,0.5,49.04,33.0,13.3,0.4,40.0,1000.0,0.0,0.0,0.0,0.97,0.06,0.18,0.7,0.0,0.5,0.0
13,1.5,0.5,49.04,33.0,13.3,0.4,40.0,1000.0,0.5,30.0,0.92,0.97,0.06,0.18,0.7,0.8562452702328018,0.21458490992239937,0.0637547297671982
13,1.5,0.5,49.04,33.0,13.3,0.4,40.0,1000.0,1.0,60.0,0.92,0.97,0.06,0.18,0.7,0.9599547846717846,0.1800150717760718,-0.03995478467178459
13,1.5,0.5,49.04,33.0,13.3,0.4,40.0,1000.0,2.0,120.0,0.95,0.97,0.06,0.18,0.7,0.9959360444346567,0.1680213185217811,-0.04593604443465671
13,1.5,0.5,49.04,33.0,13.3,0.4,40.0,1000.0,3.0,180.0,0.95,0.97,0.06,0.18,0.7,0.9995671731182109,0.16681094229392973,-0.049567173118210905
13,1.5,0.5,49.04,33.0,13.3,0.4,40.0,1000.0,4.0,240.0,0.95,0.97,0.06,0.18,0.7,0.9999540857767553,0.16668197140774826,-0.04995408577675531
13,1.5,0.5,49.04,33.0,13.3,0.4,40.0,1000.0,5.0,300.0,0.95,0.97,0.06,0.18,0.7,0.9999951675866516,0.16666827747111612,-0.04999516758665168
13,1.5,0.5,49.04,33.0,13.3,0.4,40.0,1000.0,15.0,900.0,0.97,0.97,0.06,0.18,0.7,0.9999999999999994,0.16666666666666685,-0.02999999999999947
14,1.5,1.0,98.08,67.0,26.7,0.4,40.0,1000.0,0.0,0.0,0.0,0.97,0.07,0.34,0.5,0.0,1.0,0.0
14,1.5,1.0,98.08,67.0,26.7,0.4,40.0,1000.0,0.5,30.0,0.91,0.97,0.07,0.34,0.5,0.9599544239586796,0.36003038402754695,-0.04995442395867955
14,1.5,1.0,98.08,67.0,26.7,0.4,40.0,1000.0,1.0,60.0,0.96,0.97,0.07,0.34,0.5,0.9959360225675761,0.33604265162161595,-0.03593602256757611
14,1.5,1.0,98.08,67.0,26.7,0.4,40.0,1000.0,2.0,120.0,0.95,0.97,0.07,0.34,0.5,0.9999540851200316,0.3333639432533123,-0.04995408512003163
14,1.5,1.0,98.08,67.0,26.7,0.4,40.0,1000.0,3.0,180.0,0.97,0.97,0.07,0.34,0.5,0.9999994950911797,0.33333366993921354,-0.029999495091179718
14,1.5,1.0,98.08,67.0,26.7,0.4,40.0,1000.0,4.0,240.0,0.95,0.97,0.07,0.34,0.5,0.9999999945889524,0.33333333694069844,-0.049999994588952434
14,1.5,1.0,98.08,67.0,26.7,0.4,40.0,1000.0,5.0,300.0,0.98,0.97,0.07,0.34,0.5,0.9999999999431909,0.3333333333712061,-0.019999999943190905
14,1.5,1.0,98.08,67.0,26.7,0.4,40.0,1000.0,15.0,900.0,0.97,0.97,0.07,0.34,0.5,1.0,0.33333333333333337,-0.030000000000000027
15,1.5,1.5,147.12,100.0,40.0,0.4,40.0,1000.0,0.0,0.0,0.0,0.97,0.08,0.53,0.2,0.0,1.5,0.0
15,1.5,1.5,147.12,100.0,40.0,0.4,40.0,1000.0,0.5,30.0,0.91,0.97,0.08,0.53,0.2,0.9874424070313113,0.5125575929686887,-0.07744240703131122
15,1.5,1.5,147.12,100.0,40.0,0.4,40.0,1000.0,1.0,60.0,0.94,0.97,0.08,0.53,0.2,0.9995671820085706,0.5004328179914295,-0.059567182008570696
15,1.5,1.5,147.12,100.0,40.0,0.4,40.0,1000.0,2.0,120.0,0.95,0.97,0.08,0.53,0.2,0.9999994950893868,0.5000005049106132,-0.049999495089386836
15,1.5,1.5,147.12,100.0,40.0,0.4,40.0,1000.0,3.0,180.0,0.94,0.97,0.08,0.53,0.2,0.9999999994442709,0.5000000005557292,-0.059999999444270924
15,1.5,1.5,147.12,100.0,40.0,0.4,40.0,1000.0,4.0,240.0,0.96,0.97,0.08,0.53,0.2,0.9999999999994137,0.5000000000005862,-0.03999999999941373
15,1.5,1.5,147.12,100.0,40.0,0.4,40.0,1000.0,5.0,300.0,0.96,0.97,0.08,0.53,0.2,0.9999999999999994,0.5000000000000006,-0.03999999999999948
15,1.5,1.5,147.12,100.0,40.0,0.4,40.0,1000.0,15.0,900.0,0.97,0.97,0.08,0.53,0.2,1.0,0.5,-0.030000000000000027
16,3.1,1.5,147.12,50.0,20.0,0.4,40.0,1000.0,0.0,0.0,0.0,1.0,0.1,0.99,-0.1,0.0,1.5,0.0
16,3.1,1.5,147.12,50.0,20.0,0.4,40.0,1000.0,0.5,30.0,0.98,1.0,0.1,0.99,-0.1,0.9991990836593574,1.0165165724228915,-0.019199083659357408
16,3.1,1.5,147.12,50.0,20.0,0.4,40.0,1000.0,1.0,60.0,0.98,1.0,0.1,0.99,-0.1,0.9999991563578119,1.0161294404720267,-0.01999915635781191
16,3.1,1.5,147.12,50.0,20.0,0.4,40.0,1000.0,2.0,120.0,0.96,1.0,0.1,0.99,-0.1,0.9999999999992099,1.0161290322584469,-0.03999999999920989
16,3.1,1.5,147.12,50.0,20.0,0.4,40.0,1000.0,3.0,180.0,0.99,1.0,0.1,0.99,-0.1,1.0,1.0161290322580645,-0.010000000000000009
16,3.1,1.5,147.12,50.0,20.0,0.4,40.0,1000.0,4.0,240.0,0.99,1.0,0.1,0.99,-0.1,1.0,1.0161290322580645,-0.010000000000000009
16,3.1,1.5,147.12,50.0,20.0,0.4,40.0,1000.0,5.0,300.0,1.0,1.0,0.1,0.99,-0.1,1.0,1.0161290322580645,0.0
16,3.1,1.5,147.12,50.0,20.0,0.4,40.0,1000.0,15.0,900.0,1.0,1.0,0.1,0.99,-0.1,1.0,1.0161290322580645,0.0
